Team1ID,Team1Seed,Team2ID,Team2Seed
1181,1,1373,16
1326,8,1395,9
1320,12,1385,5
1242,4,1465,13
1257,6,1378,11
1277,3,1315,14
1416,10,1417,7
1163,2,1202,15
1196,1,1341,16
1155,8,1234,9
1270,12,1435,5
1304,4,1407,13
1314,6,1433,11
1228,3,1335,14
1388,7,1401,10
1222,2,1225,15
1276,1,1420,16
1208,8,1387,9
1103,12,1403,5
1104,4,1220,13
1275,11,1397,6
1438,3,1460,14
1246,7,1365,10
1235,2,1398,15
1112,1,1254,16
1429,9,1437,8
1219,12,1458,5
1116,4,1218,13
1140,6,1400,11
1211,3,1244,14
1274,7,1281,10
1345,2,1474,15
